x,y,rho,ux,uy,speed
0,101,0.9999048497516162,-5.383338327775323e-07,0.0009526404138942955,0.0009526405659995853
0,102,0.9999000554779983,-1.690974100748994e-06,0.0009524393125950439,0.0009524408136834169
0,103,0.9998957019511471,-3.02262676377915e-06,0.0009559721011232341,0.000955976879635969
0,104,0.9998914470103749,-4.763872074504618e-06,0.0009640713909044783,0.0009640831609553388
0,105,0.9998855587952893,-7.032646703517585e-06,0.0009781122466019853,0.0009781375287107839
0,106,0.9998793438460759,-8.808963313442035e-06,0.0009984351133559548,0.0009984739723281604
0,107,0.9998753664187817,-1.153099548195421e-05,0.001025372397342405,0.001025437232154419
0,108,0.999868718386363,-1.561675972232111e-05,0.001062317324453925,0.001062432106545717
0,109,0.9998547628597098,-2.012190073699126e-05,0.001112118000163173,0.001112300021206601
0,110,0.9998466458025215,-2.156525167075716e-05,0.001171904592499029,0.001172102996327515
0,111,0.9998457410063213,-2.985978241214867e-05,0.00124475890563478,0.001245116998423359
0,112,0.9998196222827546,-4.023940515422486e-05,0.001345380457007608,0.00134598208896893
0,113,0.9997775880375908,-4.564769311226006e-05,0.001470968079057554,0.001471676187716829
0,114,0.9997904452283972,-4.215973671242207e-05,0.001602834974267778,0.00160338934701951
0,115,0.9997875324908075,-8.091289958853513e-05,0.001776814849592565,0.001778656208223633
0,116,0.9996384387684266,-9.629726314944684e-05,0.002038407141456783,0.002040680483866126
0,117,0.9995627490961142,-7.881554762649455e-05,0.002305135133833828,0.002306482142957705
0,118,0.9997614499964788,-7.434855912979574e-05,0.002540181248851666,0.002541269069827571
0,119,0.9995328396348404,-0.0002736019656686046,0.003011408209901088,0.003023811740548244
0,120,0.9987966353898557,-0.0001571011933901555,0.003689474939437721,0.003692818180428545
0,121,0.9992289785454446,-1.960718111858238e-05,0.003991739120622466,0.003991787274975864
0,122,1.000136444114122,-0.0002251187902390937,0.004320645190253453,0.004326505903125409
0,123,0.9972509083482876,-0.00104243663783069,0.005988359759615122,0.006078414822506723
0,124,0.9952492824724605,0.000744257409843198,0.006891249307190026,0.006931322825114519
0,125,1.00152965170585,0.0004572885828848781,0.005016731576578843,0.005037530005814367
0,126,0.9972559837675234,-0.001525135489885977,0.005900444798640896,0.006094365191249876
0,127,0.9719281393673049,0.002989392654409941,0.00363724640434162,0.004708081334061271
1,0,1.000884008175502,-6.112174859904691e-07,-1.729145608620424e-06,1.833993279974549e-06
1,1,1.000884090648344,-6.956113392667573e-07,-5.435210211293009e-06,5.47954242398581e-06
1,2,1.000884544033868,-5.319981596630137e-07,-9.339441422153184e-06,9.354581130104945e-06
1,3,1.000885020682653,-4.249988974547186e-07,-1.323800445526876e-05,1.324482487693036e-05
1,4,1.000885700911557,-1.115113044126421e-06,-1.667815853754468e-05,1.671539557727114e-05
1,5,1.000886661287025,-2.163228595458747e-06,-1.904105900498883e-05,1.916354575718379e-05
1,6,1.0008878264306,-3.543773932760115e-06,-1.986489716987037e-05,2.017851514002043e-05
1,7,1.000889177796173,-5.20943019306354e-06,-1.875349861802931e-05,1.946360381205981e-05
1,8,1.00089069212594,-7.149455468623005e-06,-1.538849927549765e-05,1.696822393327643e-05
1,9,1.000892353376989,-9.2646600506199e-06,-9.481209550546414e-06,1.32562159153706e-05
1,10,1.000894125142695,-1.153747104996702e-05,-8.254166334254696e-07,1.156695944695764e-05
1,11,1.00089598129168,-1.394158765820033e-05,1.077060717590394e-05,1.761743015791228e-05
1,12,1.000897892542392,-1.645801493067015e-05,2.544452136533869e-05,3.030329887931904e-05
1,13,1.000899831093119,-1.906531697674002e-05,4.333794886789255e-05,4.73462155140159e-05
1,14,1.000901766057688,-2.175523177197888e-05,6.454853985718086e-05,6.811610754547403e-05
1,15,1.000903667522984,-2.451750744197724e-05,8.918504090129221e-05,9.249367379303611e-05
1,16,1.000905504367514,-2.734259723230869e-05,0.0001173191538586622,0.0001204632785770034
1,17,1.00090724491148,-3.022144916210853e-05,0.0001490359609238987,0.0001520692396179049
1,18,1.000908856207581,-3.314578501097917e-05,0.000184384717602779,0.0001873402443402127
1,19,1.000910304671813,-3.610635123325488e-05,0.0002234273353348034,0.0002263259657533573
1,20,1.000911555732977,-3.909334877099033e-05,0.0002661901171920913,0.0002690454764698147
1,21,1.000912574044033,-4.209661950487927e-05,0.0003127102379029354,0.0003155310099864181
1,22,1.000913323394986,-4.510536330437595e-05,0.0003629885353971447,0.0003657802217569779
