y,y_over_L,ux,ux_over_lid_velocity
73,0.57421875,-0.004114283649004133,-0.04114283649004133
74,0.58203125,-0.003173248662867188,-0.03173248662867188
75,0.58984375,-0.002230946244959111,-0.02230946244959111
76,0.59765625,-0.001286928500821473,-0.01286928500821473
77,0.60546875,-0.0003408431223903778,-0.003408431223903778
78,0.61328125,0.00060755742478211,0.0060755742478211
79,0.62109375,0.001558408948042918,0.01558408948042918
80,0.62890625,0.002511730490550203,0.02511730490550203
81,0.63671875,0.003467420928378691,0.03467420928378691
82,0.64453125,0.00442525701296917,0.0442525701296917
83,0.65234375,0.005384892622727249,0.05384892622727248
84,0.66015625,0.006345859178847733,0.06345859178847733
85,0.66796875,0.007307567016634867,0.07307567016634867
86,0.67578125,0.008269307806805104,0.08269307806805103
87,0.68359375,0.009230257842180112,0.09230257842180112
88,0.69140625,0.01018948240057924,0.1018948240057924
89,0.69921875,0.01114594098722912,0.1114594098722912
90,0.70703125,0.01209849380398218,0.1209849380398218
91,0.71484375,0.01304590923491837,0.1304590923491837
92,0.72265625,0.01398687283143829,0.1398687283143829
93,0.73046875,0.01491999763242938,0.1491999763242938
94,0.73828125,0.01584383660000672,0.1584383660000672
95,0.74609375,0.01675689718692938,0.1675689718692938
96,0.75390625,0.01765765945013794,0.1765765945013794
97,0.76171875,0.01854459841613871,0.1854459841613871
98,0.76953125,0.01941621355502927,0.1941621355502927
99,0.77734375,0.02027106771071133,0.2027106771071133
100,0.78515625,0.02110784152831977,0.2110784152831977
101,0.79296875,0.02192540928649181,0.2192540928649181
102,0.80078125,0.02272294830306197,0.2272294830306197
103,0.80859375,0.02350009419783808,0.2350009419783808
104,0.81640625,0.02425716465659225,0.2425716465659224
105,0.82421875,0.02499547271771479,0.2499547271771479
106,0.83203125,0.02571776642053445,0.2571776642053444
107,0.83984375,0.02642882196151033,0.2642882196151032
108,0.84765625,0.02713623933333741,0.271362393333374
109,0.85546875,0.02785145562286119,0.2785145562286119
110,0.86328125,0.02859102034569135,0.2859102034569135
111,0.87109375,0.02937808704901797,0.2937808704901796
112,0.87890625,0.03024412298590695,0.3024412298590695
113,0.88671875,0.03123063621964941,0.3123063621964941
114,0.89453125,0.03239083401105418,0.3239083401105418
115,0.90234375,0.03379072091517548,0.3379072091517548
116,0.91015625,0.03550947521452973,0.3550947521452972
117,0.91796875,0.03763817848008177,0.3763817848008176
118,0.92578125,0.04027689009257424,0.4027689009257424
119,0.93359375,0.04352861470289476,0.4352861470289476
120,0.94140625,0.04749102520599425,0.4749102520599425
121,0.94921875,0.05224388192563904,0.5224388192563904
122,0.95703125,0.05783544136162895,0.5783544136162895
123,0.96484375,0.06426467016201001,0.6426467016201001
124,0.97265625,0.07146780771041908,0.7146780771041907
125,0.98046875,0.07930266663739784,0.7930266663739783
126,0.98828125,0.08754952994105165,0.8754952994105165
127,0.99609375,0.09591179850113241,0.9591179850113241
127.5,1,0.1,1
