time,amplitude,log_abs_amplitude
182,0.04407915414329094,-3.121768303448385
183,0.04404879844405046,-3.122457204065041
184,0.04401846364966835,-3.123146104681697
185,0.04398814974574824,-3.123835005298354
186,0.04395785671790369,-3.12452390591501
187,0.0439275845517581,-3.125212806531664
188,0.04389733323294465,-3.125901707148321
189,0.04386710274710669,-3.126590607764976
190,0.04383689307989727,-3.127279508381631
191,0.04380670421697933,-3.127968408998287
192,0.04377653614402566,-3.128657309614944
193,0.0437463888467191,-3.129346210231601
194,0.04371626231075224,-3.130035110848256
195,0.04368615652182741,-3.130724011464911
196,0.04365607146565687,-3.131412912081568
197,0.04362600712796282,-3.132101812698223
198,0.04359596349447716,-3.132790713314878
199,0.04356594055094166,-3.133479613931534
200,0.04353593828310792,-3.134168514548189
201,0.04350595667673728,-3.134857415164845
202,0.04347599571760104,-3.135546315781499
203,0.04344605539148016,-3.136235216398155
204,0.04341613568416542,-3.13692411701481
205,0.04338623658145745,-3.137613017631464
206,0.04335635806916651,-3.138301918248121
207,0.04332650013311291,-3.138990818864775
208,0.04329666275912631,-3.139679719481432
209,0.04326684593304653,-3.140368620098089
210,0.043237049640723,-3.141057520714744
211,0.04320727386801479,-3.1417464213314
212,0.04317751860079086,-3.142435321948056
213,0.04314778382492983,-3.143124222564711
214,0.04311806952631994,-3.143813123181368
215,0.04308837569085932,-3.144502023798025
216,0.04305870230445582,-3.145190924414681
217,0.04302904935302696,-3.145879825031335
218,0.04299941682249971,-3.146568725647992
219,0.0429698046988111,-3.147257626264647
220,0.04294021296790771,-3.147946526881302
221,0.04291064161574564,-3.148635427497958
222,0.04288109062829088,-3.149324328114615
223,0.04285155999151904,-3.15001322873127
224,0.04282204969141518,-3.150702129347928
225,0.04279255971397444,-3.151391029964584
226,0.04276309004520124,-3.152079930581237
227,0.04273364067110964,-3.152768831197894
228,0.04270421157772356,-3.153457731814549
229,0.04267480275107637,-3.154146632431205
230,0.04264541417721109,-3.154835533047861
231,0.04261604584218041,-3.155524433664517
232,0.04258669773204659,-3.156213334281171
233,0.04255736983288141,-3.156902234897828
234,0.04252806213076642,-3.157591135514483
235,0.04249877461179263,-3.158280036131138
236,0.04246950726206052,-3.158968936747795
237,0.04244026006768047,-3.15965783736445
238,0.04241103301477208,-3.160346737981106
239,0.04238182608946469,-3.161035638597762
240,0.04235263927789722,-3.161724539214418
241,0.04232347256621805,-3.162413439831072
242,0.04229432594058504,-3.163102340447729
243,0.04226519938716581,-3.163791241064383
244,0.04223609289213725,-3.164480141681039
245,0.04220700644168588,-3.165169042297694
246,0.04217794002200776,-3.16585794291435
247,0.04214889361930847,-3.166546843531005
248,0.04211986721980295,-3.167235744147662
249,0.04209086080971584,-3.167924644764318
250,0.04206187437528113,-3.168613545380973
251,0.04203290790274224,-3.16930244599763
252,0.04200396137835227,-3.169991346614285
253,0.04197503478837361,-3.17068024723094
254,0.04194612811907813,-3.171369147847596
255,0.04191724135674724,-3.17205804846425
256,0.04188837448767168,-3.172746949080906
257,0.04185952749815169,-3.173435849697562
258,0.04183070037449702,-3.174124750314217
259,0.04180189310302668,-3.174813650930874
260,0.04177310567006928,-3.17550255154753
261,0.04174433806196273,-3.176191452164186
262,0.04171559026505441,-3.176880352780842
263,0.04168686226570103,-3.177569253397498
264,0.04165815405026874,-3.178258154014154
265,0.04162946560513311,-3.178947054630811
266,0.04160079691667903,-3.179635955247468
267,0.04157214797130093,-3.180324855864122
268,0.04154351875540229,-3.181013756480777
269,0.04151490925539622,-3.181702657097432
270,0.0414863194577051,-3.182391557714088
271,0.04145774934876065,-3.183080458330744
272,0.04142919891500395,-3.1837693589474
273,0.04140066814288549,-3.184458259564055
274,0.04137215701886491,-3.185147160180712
275,0.04134366552941134,-3.185836060797368
276,0.04131519366100323,-3.186524961414023
277,0.04128674140012819,-3.187213862030679
278,0.04125830873328332,-3.187902762647333
279,0.04122989564697479,-3.18859166326399
280,0.04120150212771836,-3.189280563880645
281,0.04117312816203886,-3.189969464497299
282,0.04114477373647037,-3.190658365113956
283,0.04111643883755645,-3.191347265730611
284,0.04108812345184971,-3.192036166347267
285,0.04105982756591222,-3.192725066963923
286,0.04103155116631513,-3.193413967580578
287,0.04100329423963899,-3.194102868197233
288,0.04097505677247339,-3.194791768813889
289,0.04094683875141742,-3.195480669430544
290,0.0409186401630792,-3.196169570047198
291,0.04089046099407596,-3.196858470663856
292,0.04086230123103454,-3.197547371280512
293,0.04083416086059075,-3.198236271897166
294,0.04080603986938947,-3.198925172513823
295,0.04077793824408502,-3.199614073130479
296,0.04074985597134085,-3.200302973747135
297,0.04072179303782943,-3.200991874363793
298,0.04069374943023277,-3.201680774980447
299,0.0406657251352416,-3.202369675597103
300,0.0406377201395561,-3.20305857621376
301,0.04060973442988555,-3.203747476830417
302,0.04058176799294848,-3.204436377447072
303,0.04055382081547234,-3.205125278063727
304,0.04052589288419384,-3.205814178680384
305,0.04049798418585889,-3.206503079297039
306,0.04047009470722245,-3.207191979913695
307,0.04044222443504863,-3.20788088053035
308,0.04041437335611064,-3.208569781147005
309,0.04038654145719068,-3.209258681763662
310,0.04035872872508033,-3.209947582380317
311,0.04033093514658001,-3.210636482996975
312,0.04030316070849946,-3.21132538361363
313,0.04027540539765728,-3.212014284230285
314,0.04024766920088123,-3.212703184846941
315,0.04021995210500818,-3.213392085463597
316,0.040192254096884,-3.214080986080253
317,0.04016457516336371,-3.214769886696909
318,0.04013691529131137,-3.215458787313564
319,0.04010927446759991,-3.21614768793022
320,0.04008165267911145,-3.216836588546878
321,0.04005404991273733,-3.217525489163532
322,0.04002646615537752,-3.218214389780188
323,0.03999890139394122,-3.218903290396844
324,0.0399713556153467,-3.219592191013501
325,0.03994382880652123,-3.220281091630155
326,0.03991632095440083,-3.220969992246811
327,0.03988883204593081,-3.221658892863468
328,0.03986136206806546,-3.222347793480123
329,0.0398339110077679,-3.223036694096778
330,0.03980647885201027,-3.223725594713434
331,0.03977906558777369,-3.22441449533009
332,0.03975167120204828,-3.225103395946746
333,0.03972429568183319,-3.2257922965634
334,0.0396969390141363,-3.226481197180056
335,0.03966960118597465,-3.227170097796711
336,0.03964228218437404,-3.227858998413369
337,0.03961498199636944,-3.228547899030024
338,0.03958770060900456,-3.229236799646681
339,0.03956043800933209,-3.229925700263336
340,0.03953319418441363,-3.230614600879993
341,0.03950596912131974,-3.231303501496647
342,0.0394787628071298,-3.231992402113302
343,0.03945157522893203,-3.23268130272996
344,0.03942440637382382,-3.233370203346615
345,0.03939725622891112,-3.234059103963271
346,0.03937012478130904,-3.234748004579925
347,0.0393430120181413,-3.235436905196581
348,0.03931591792654068,-3.236125805813236
349,0.0392888424936487,-3.236814706429891
350,0.03926178570661584,-3.237503607046547
351,0.03923474755260137,-3.238192507663202
352,0.03920772801877338,-3.238881408279858
353,0.03918072709230882,-3.239570308896516
354,0.03915374476039364,-3.240259209513169
355,0.03912678101022227,-3.240948110129825
356,0.03909983582899822,-3.24163701074648
357,0.03907290920393376,-3.242325911363134
358,0.03904600112224978,-3.243014811979792
359,0.03901911157117637,-3.243703712596447
360,0.038992240537952,-3.244392613213103
361,0.03896538800982418,-3.245081513829759
362,0.03893855397404913,-3.245770414446414
363,0.03891173841789187,-3.24645931506307
364,0.03888494132862606,-3.247148215679726
365,0.03885816269353428,-3.247837116296382
366,0.03883140249990793,-3.248526016913037
367,0.03880466073504694,-3.249214917529691
368,0.03877793738626,-3.249903818146348
369,0.03875123244086478,-3.250592718763004
370,0.0387245458861875,-3.25128161937966
371,0.03869787770956309,-3.251970519996317
372,0.03867122789833543,-3.252659420612971
373,0.03864459643985676,-3.253348321229627
374,0.03861798332148828,-3.254037221846283
375,0.03859138853059986,-3.254726122462937
376,0.03856481205456987,-3.255415023079595
377,0.03853825388078579,-3.25610392369625
378,0.0385117139966434,-3.256792824312905
379,0.03848519238954728,-3.257481724929561
380,0.03845868904691074,-3.258170625546216
381,0.03843220395615569,-3.258859526162871
382,0.0384057371047127,-3.259548426779527
383,0.03837928848002107,-3.260237327396184
384,0.0383528580695287,-3.26092622801284
385,0.03832644586069215,-3.261615128629495
386,0.03830005184097662,-3.262304029246149
387,0.03827367599785579,-3.262992929862807
388,0.03824731831881235,-3.26368183047946
389,0.03822097879133714,-3.264370731096116
390,0.0381946574029299,-3.265059631712773
391,0.03816835414109889,-3.265748532329431
392,0.03814206899336121,-3.266437432946085
393,0.03811580194724219,-3.267126333562739
394,0.0380895529902758,-3.267815234179395
395,0.03806332211000483,-3.268504134796051
396,0.03803710929398054,-3.269193035412707
397,0.03801091452976268,-3.269881936029363
398,0.0379847378049197,-3.270570836646018
399,0.03795857910702847,-3.271259737262674
400,0.03793243842367453,-3.27194863787933
401,0.03790631574245194,-3.272637538495985
402,0.0378802110509632,-3.273326439112642
403,0.03785412433681958,-3.274015339729297
404,0.03782805558764069,-3.274704240345953
405,0.03780200479105458,-3.275393140962611
406,0.03777597193469818,-3.276082041579266
407,0.0377499570062166,-3.276770942195922
408,0.03772395999326358,-3.277459842812577
409,0.03769798088350133,-3.278148743429232
410,0.03767201966460063,-3.278837644045888
411,0.03764607632424058,-3.279526544662545
412,0.03762015085010908,-3.280215445279199
413,0.03759424322990219,-3.280904345895853
414,0.0375683534513245,-3.281593246512509
415,0.03754248150208928,-3.282282147129164
416,0.03751662736991798,-3.28297104774582
417,0.03749079104254073,-3.283659948362476
418,0.03746497250769594,-3.284348848979133
419,0.03743917175313063,-3.285037749595789
420,0.03741338876660018,-3.285726650212444
421,0.03738762353586833,-3.2864155508291
422,0.03736187604870734,-3.287104451445756
423,0.0373361462928979,-3.287793352062411
424,0.037310434256229,-3.288482252679067
425,0.03728473992649815,-3.289171153295723
426,0.03725906329151122,-3.289860053912379
427,0.03723340433908259,-3.290548954529034
428,0.03720776305703479,-3.29123785514569
429,0.03718213943319895,-3.291926755762345
430,0.03715653345541448,-3.292615656379
431,0.03713094511152914,-3.293304556995657
432,0.0371053743893992,-3.293993457612313
433,0.03707982127688916,-3.294682358228969
434,0.03705428576187193,-3.295371258845625
435,0.03702876783222877,-3.296060159462281
436,0.03700326747584928,-3.296749060078937
437,0.03697778468063139,-3.297437960695591
438,0.03695231943448132,-3.298126861312248
439,0.03692687172531373,-3.298815761928904
440,0.03690144154105156,-3.299504662545559
441,0.03687602886962601,-3.300193563162214
442,0.0368506336989766,-3.300882463778871
443,0.03682525601705123,-3.301571364395526
444,0.03679989581180607,-3.302260265012182
445,0.03677455307120551,-3.302949165628838
446,0.03674922778322234,-3.303638066245494
447,0.03672391993583764,-3.304326966862148
448,0.03669862951704054,-3.305015867478805
449,0.03667335651482873,-3.305704768095461
450,0.03664810091720807,-3.306393668712116
451,0.0366228627121926,-3.307082569328772
452,0.03659764188780467,-3.307771469945427
453,0.03657243843207492,-3.308460370562082
454,0.0365472523330421,-3.309149271178738
455,0.03652208357875333,-3.309838171795394
456,0.03649693215726393,-3.310527072412051
457,0.03647179805663756,-3.311215973028705
458,0.03644668126494574,-3.311904873645361
459,0.03642158177026859,-3.312593774262017
460,0.03639649956069427,-3.313282674878673
461,0.03637143462431921,-3.313971575495327
462,0.03634638694924784,-3.314660476111983
463,0.03632135652359311,-3.315349376728637
464,0.03629634333547573,-3.316038277345296
465,0.03627134737302517,-3.31672717796195
466,0.03624636862437856,-3.317416078578604
467,0.03622140707768131,-3.318104979195261
468,0.03619646272108714,-3.318793879811918
469,0.03617153554275796,-3.319482780428573
470,0.03614662553086357,-3.320171681045229
471,0.03612173267358223,-3.320860581661884
472,0.03609685695910004,-3.32154948227854
473,0.03607199837561147,-3.322238382895195
474,0.036047156911319,-3.32292728351185
475,0.03602233255443323,-3.323616184128507
476,0.03599752529317301,-3.324305084745162
477,0.03597273511576507,-3.324993985361819
478,0.03594796201044458,-3.325682885978474
479,0.03592320596545447,-3.326371786595129
480,0.03589846696904595,-3.327060687211786
481,0.0358737450094783,-3.327749587828441
482,0.03584904007501887,-3.328438488445097
483,0.03582435215394311,-3.329127389061751
484,0.03579968123453447,-3.329816289678407
485,0.03577502730508456,-3.330505190295062
486,0.03575039035389303,-3.331194090911717
487,0.0357257703692675,-3.331882991528374
488,0.03570116733952378,-3.33257189214503
489,0.03567658125298571,-3.333260792761686
490,0.03565201209798507,-3.333949693378341
491,0.03562745986286174,-3.334638593994996
492,0.03560292453596361,-3.335327494611651
493,0.03557840610564657,-3.336016395228307
494,0.03555390456027461,-3.336705295844963
495,0.0355294198882197,-3.337394196461619
496,0.03550495207786179,-3.338083097078274
497,0.03548050111758884,-3.33877199769493
498,0.03545606699579684,-3.339460898311585
499,0.03543164970088965,-3.340149798928241
500,0.03540724922127934,-3.340838699544896
501,0.03538286554538574,-3.341527600161552
502,0.03535849866163684,-3.342216500778205
503,0.0353341485584683,-3.342905401394863
504,0.03530981522432411,-3.343594302011521
505,0.03528549864765616,-3.344283202628175
506,0.03526119881692395,-3.344972103244832
507,0.03523691572059531,-3.345661003861488
508,0.03521264934714588,-3.346349904478143
509,0.03518839968505924,-3.347038805094797
510,0.03516416672282672,-3.347727705711454
511,0.03513995044894788,-3.348416606328111
512,0.03511575085193012,-3.349105506944765
513,0.03509156792028855,-3.349794407561421
514,0.03506740164254642,-3.350483308178076
515,0.0350432520072348,-3.351172208794731
516,0.03501911900289257,-3.351861109411388
517,0.03499500261806664,-3.352550010028045
518,0.03497090284131187,-3.3532389106447
519,0.03494681966119077,-3.353927811261356
520,0.0349227530662739,-3.35461671187801
521,0.03489870304513956,-3.355305612494666
522,0.03487466958637407,-3.355994513111321
523,0.03485065267857147,-3.356683413727978
524,0.03482665231033378,-3.357372314344633
525,0.03480266847027077,-3.358061214961289
526,0.03477870114700008,-3.358750115577945
527,0.03475475032914721,-3.359439016194602
528,0.03473081600534557,-3.360127916811256
529,0.03470689816423623,-3.360816817427911
530,0.0346829967944681,-3.361505718044568
531,0.03465911188469809,-3.362194618661223
532,0.03463524342359073,-3.362883519277879
533,0.03461139139981848,-3.363572419894534
534,0.03458755580206142,-3.364261320511192
535,0.0345637366190077,-3.364950221127848
536,0.03453993383935308,-3.365639121744505
537,0.0345161474518012,-3.366328022361159
538,0.0344923774450633,-3.367016922977815
539,0.03446862380785851,-3.367705823594472
540,0.03444488652891376,-3.368394724211129
541,0.03442116559696386,-3.369083624827784
542,0.03439746100075112,-3.369772525444438
543,0.03437377272902565,-3.370461426061093
544,0.03435010077054542,-3.371150326677749
545,0.03432644511407615,-3.371839227294404
546,0.03430280574839117,-3.37252812791106
547,0.03427918266227167,-3.373217028527715
548,0.03425557584450644,-3.373905929144371
549,0.03423198528389212,-3.374594829761026
550,0.03420841096923298,-3.375283730377682
551,0.03418485288934105,-3.375972630994338
552,0.03416131103303603,-3.376661531610993
553,0.03413778538914526,-3.37735043222765
554,0.03411427594650397,-3.378039332844305
555,0.03409078269395485,-3.378728233460961
556,0.03406730562034846,-3.379417134077616
557,0.0340438447145429,-3.380106034694272
558,0.03402039996540404,-3.380794935310926
559,0.03399697136180532,-3.381483835927581
560,0.03397355889262785,-3.382172736544239
561,0.03395016254676061,-3.382861637160893
562,0.03392678231309995,-3.383550537777548
563,0.03390341818054998,-3.384239438394205
564,0.03388007013802251,-3.38492833901086
565,0.03385673817443691,-3.385617239627515
566,0.03383342227872021,-3.386306140244169
567,0.03381012243980695,-3.386995040860826
568,0.03378683864663948,-3.387683941477484
569,0.03376357088816771,-3.388372842094141
570,0.03374031915334919,-3.389061742710796
571,0.03371708343114895,-3.38975064332745
572,0.03369386371053963,-3.390439543944106
573,0.03367065998050159,-3.391128444560761
574,0.03364747223002263,-3.391817345177418
575,0.03362430044809827,-3.392506245794074
576,0.03360114462373163,-3.393195146410729
577,0.03357800474593318,-3.393884047027385
578,0.03355488080372115,-3.394572947644042
579,0.03353177278612137,-3.395261848260696
580,0.03350868068216704,-3.395950748877352
581,0.03348560448089898,-3.39663964949401
582,0.03346254417136571,-3.397328550110666
583,0.03343949974262318,-3.398017450727321
584,0.03341647118373483,-3.398706351343975
585,0.03339345848377163,-3.399395251960631
586,0.03337046163181209,-3.400084152577288
587,0.03334748061694236,-3.400773053193944
588,0.03332451542825599,-3.4014619538106
589,0.03330156605485411,-3.402150854427255
590,0.03327863248584518,-3.402839755043912
591,0.03325571471034541,-3.403528655660568
592,0.03323281271747844,-3.404217556277222
593,0.03320992649637519,-3.404906456893878
594,0.03318705603617425,-3.405595357510535
595,0.03316420132602182,-3.40628425812719
596,0.03314136235507125,-3.406973158743846
597,0.03311853911248364,-3.407662059360501
598,0.03309573158742738,-3.408350959977156
599,0.03307293976907833,-3.409039860593813
600,0.03305016364661996,-3.409728761210469
601,0.03302740320924313,-3.410417661827122
602,0.03300465844614595,-3.411106562443777
603,0.03298192934653411,-3.411795463060435
604,0.03295921589962084,-3.412484363677091
605,0.03293651809462675,-3.413173264293745
606,0.0329138359207797,-3.4138621649104
607,0.03289116936731516,-3.414551065527055
608,0.03286851842347583,-3.415239966143713
609,0.03284588307851209,-3.415928866760369
610,0.03282326332168148,-3.416617767377025
611,0.03280065914224905,-3.417306667993681
612,0.03277807052948721,-3.417995568610337
613,0.03275549747267578,-3.418684469226993
614,0.03273293996110192,-3.419373369843648
615,0.03271039798406018,-3.420062270460305
616,0.03268787153085253,-3.420751171076962
617,0.03266536059078828,-3.421440071693617
618,0.03264286515318405,-3.422128972310274
619,0.03262038520736399,-3.422817872926928
620,0.03259792074265933,-3.423506773543584
621,0.03257547174840882,-3.42419567416024
622,0.03255303821395858,-3.424884574776895
623,0.03253062012866201,-3.42557347539355
624,0.03250821748187971,-3.426262376010207
625,0.03248583026297992,-3.426951276626862
626,0.03246345846133792,-3.427640177243518
627,0.03244110206633643,-3.428329077860174
628,0.03241876106736551,-3.429017978476829
629,0.0323964354538224,-3.429706879093485
630,0.03237412521511173,-3.430395779710142
631,0.03235183034064549,-3.431084680326796
632,0.03232955081984278,-3.431773580943453
633,0.03230728664213015,-3.43246248156011
634,0.03228503779694147,-3.433151382176764
635,0.03226280427371764,-3.43384028279342
636,0.03224058606190704,-3.434529183410076
637,0.03221838315096526,-3.435218084026731
638,0.03219619553035521,-3.435906984643386
639,0.03217402318954687,-3.436595885260042
640,0.03215186611801767,-3.437284785876699
641,0.03212972430525219,-3.437973686493356
642,0.03210759774074245,-3.438662587110009
643,0.03208548641398733,-3.439351487726664
644,0.03206339031449315,-3.440040388343322
645,0.03204130943177355,-3.440729288959977
646,0.03201924375534929,-3.441418189576632
647,0.03199719327474836,-3.442107090193286
648,0.03197515797950581,-3.442795990809942
649,0.0319531378591642,-3.443484891426597
650,0.03193113290327301,-3.444173792043254
651,0.03190914310138914,-3.44486269265991
652,0.03188716844307657,-3.445551593276564
653,0.03186520891790637,-3.446240493893221
654,0.03184326451545703,-3.446929394509877
655,0.03182133522531402,-3.447618295126533
656,0.0317994210370701,-3.448307195743188
657,0.03177752194032512,-3.448996096359842
658,0.03175563792468605,-3.449684996976498
659,0.0317337689797671,-3.450373897593155
